Obs,city,street,streetNumber,delivery_company,purchase_month,purchase_day,purchase_hour,purchase_weekday,delivery_month,delivery_day,delivery_hour,delivery_weekday,shipping_time_in_hours,category
610,Mielec,ul. Borowkowa,65,C620,VIII,8,3,Friday,VIII,10,5,Sunday,50,Gry Xbox 360
611,Warszawa,pl. Jasna,53,C620,III,3,21,Monday,III,5,3,Wednesday,30,Gry Xbox 360
612,Police,al. lanowa,48,C620,VI,1,12,Sunday,VI,2,8,Monday,20,Gry Xbox 360
613,Radom,ul. Willowa,58,C360,VIII,9,17,Saturday,VIII,10,9,Sunday,17,Gry Xbox 360
614,Radom,pl. Kasztanowa,82,C360,IV,4,16,Friday,IV,6,3,Sunday,35,Gry Xbox 360
615,Warszawa,pl. Spacerowa,1,C360,II,3,3,Sunday,II,3,4,Sunday,1,Gry Xbox 360
616,Kutno,ul. Piekna,74,C620,V,5,22,Monday,V,8,20,Thursday,70,Gry Xbox 360
617,Mielec,al. Skrajna,17,C516,II,7,10,Thursday,II,9,18,Saturday,56,Gry Xbox 360
618,Kutno,ul. Piekna,74,C620,VIII,23,10,Saturday,VIII,24,2,Sunday,17,Gry Xbox 360
619,Kutno,pl. Wroclawska,571,C516,IV,2,18,Wednesday,IV,5,19,Saturday,73,Gry Xbox 360
620,Radom,ul. Prusa,49,C360,III,9,7,Sunday,III,11,11,Tuesday,52,Gry Xbox 360
621,Gdynia,ul. Cmentarna,698,C360,VIII,1,0,Friday,VIII,1,6,Friday,6,Gry Xbox 360
622,Gdynia,al. Torowa,43,C516,III,4,14,Tuesday,III,5,19,Wednesday,29,Gry Xbox 360
623,Konin,al. Drzymaly,90,C620,III,18,5,Tuesday,III,20,7,Thursday,50,Gry Xbox 360
624,Szczecin,ul. Dzialkowa,7,C620,X,23,15,Thursday,X,23,18,Thursday,4,Gry Xbox 360
625,Gdynia,al. Wypoczynkowa,366,C360,IV,23,3,Wednesday,IV,24,7,Thursday,27,Gry Xbox 360
626,Gdynia,pl. Okrzei,98,C516,X,14,19,Tuesday,X,17,1,Friday,55,Gry Xbox 360
627,Police,al. Wiazowa,96,C620,IV,13,6,Sunday,IV,13,23,Sunday,17,Gry Xbox 360
628,Mielec,al. Kasztanowa,10,C360,I,17,0,Thursday,I,17,1,Thursday,2,Gry Xbox 360
629,Gdynia,pl. Opolska,89,C620,V,25,16,Sunday,V,29,5,Thursday,85,Gry Xbox 360
630,Warszawa,pl. Jasna,53,C360,V,22,7,Thursday,V,24,23,Saturday,64,Gry Xbox 360
631,Mielec,al. Kasztanowa,10,C360,VI,21,0,Saturday,VI,22,10,Sunday,35,Gry Xbox 360
632,Police,ul. Powstancow,75,C620,V,9,1,Friday,V,11,14,Sunday,61,Gry Xbox 360
633,Warszawa,pl. Spacerowa,1,C360,II,7,2,Thursday,II,7,19,Thursday,18,Gry Xbox 360
634,Gdynia,al. Wilcza,461,C516,VI,8,14,Sunday,VI,8,16,Sunday,3,Gry Xbox 360
635,Gdynia,pl. Opolska,89,C360,I,19,20,Saturday,I,20,4,Sunday,8,Gry Xbox 360
636,Szczecin,ul. Sosnowa,84,C620,VI,24,15,Tuesday,VI,27,5,Friday,62,Gry Xbox 360
637,Konin,al. Strumykowa,54,C360,II,2,23,Saturday,II,4,18,Monday,43,Gry Xbox 360
638,Radom,ul. Prusa,49,C620,I,16,1,Wednesday,I,19,7,Saturday,78,Gry Xbox 360
639,Kutno,ul. Sikorskiego,57,C360,IV,10,18,Thursday,IV,14,18,Monday,96,Gry Xbox 360
640,Szczecin,al. Lelewela,27,C516,II,18,6,Monday,II,20,4,Wednesday,47,Gry Xbox 360
641,Konin,ul. Sienkiewicza,979,C360,I,21,2,Monday,I,23,3,Wednesday,48,Gry Xbox 360
642,Warszawa,al. Mokra,49,C620,III,15,21,Saturday,III,16,4,Sunday,7,Gry Xbox 360
643,Warszawa,al. Rzeczna,403,C516,IV,30,23,Wednesday,V,1,4,Thursday,5,Gry Xbox 360
644,Warszawa,al. Strazacka,25,C620,III,16,18,Sunday,III,18,10,Tuesday,40,Gry Xbox 360
645,Warszawa,al. Strazacka,25,C516,VI,2,19,Monday,VI,5,13,Thursday,66,Gry Xbox 360
646,Szczecin,al. Skargi,58,C360,VII,21,21,Monday,VII,25,8,Friday,83,Gry Xbox 360
647,Konin,ul. Mostowa,932,C620,IV,3,11,Thursday,IV,4,11,Friday,24,Gry Xbox 360
648,Warszawa,pl. Truskawkowa,38,C516,IX,28,10,Sunday,X,1,0,Wednesday,62,Gry Xbox 360
649,Mielec,al. Mostowa,25,C360,VIII,28,0,Thursday,VIII,28,10,Thursday,10,Gry Xbox 360
650,Konin,al. Sarnia,154,C516,VII,9,17,Wednesday,VII,13,14,Sunday,92,Gry Xbox 360
651,Mielec,al. Kasztanowa,10,C620,VII,17,5,Thursday,VII,17,6,Thursday,2,Gry Xbox 360
652,Radom,pl. Makowa,60,C360,IV,1,0,Tuesday,IV,5,18,Saturday,114,Gry Xbox 360
653,Warszawa,pl. Zakole,779,C516,III,30,5,Sunday,III,31,15,Monday,34,Gry Xbox 360
654,Police,pl. Sportowa,85,C360,III,27,22,Thursday,III,28,1,Friday,3,Gry Xbox 360
655,Warszawa,pl. Jasna,53,C620,IV,16,23,Wednesday,IV,18,12,Friday,37,Gry Xbox 360
656,Radom,pl. Kasztanowa,82,C620,VI,26,3,Thursday,VII,1,5,Tuesday,123,Gry Xbox 360
657,Gdynia,pl. Lubelska,7,C516,V,7,4,Wednesday,V,9,6,Friday,50,Gry Xbox 360
658,Radom,pl. Kopernika,87,C620,X,18,4,Saturday,X,21,8,Tuesday,76,Gry Xbox 360
659,Radom,al. Poziomkowa,93,C360,VI,25,23,Wednesday,VI,28,16,Saturday,65,Gry Xbox 360
660,Kutno,pl. Wyspianskiego,684,C516,VII,27,5,Sunday,VII,28,8,Monday,27,Gry Xbox 360
661,Mielec,ul. Brzozowa,64,C620,III,15,15,Saturday,III,17,3,Monday,37,Gry Xbox 360
662,Gdynia,al. Torowa,43,C620,I,22,5,Tuesday,I,24,20,Thursday,63,Gry Xbox 360
663,Mielec,ul. Pomorska,12,C360,VI,7,17,Saturday,VI,11,3,Wednesday,82,Gry Xbox 360
664,Police,ul. Sosnowa,967,C516,IV,11,15,Friday,IV,12,6,Saturday,16,Gry Xbox 360
665,Kutno,al. Fredry,92,C360,IX,14,5,Sunday,IX,15,14,Monday,33,Gry Xbox 360
666,Radom,ul. Willowa,58,C620,IX,18,17,Thursday,IX,20,23,Saturday,54,Gry Xbox 360
667,Szczecin,al. Cyprysowa,868,C516,IX,30,7,Tuesday,X,3,11,Friday,76,Gry Xbox 360
668,Mielec,pl. Zielona,434,C620,X,26,12,Sunday,X,26,20,Sunday,8,Gry Xbox 360
669,Kutno,al. Torowa,74,C360,VIII,10,20,Sunday,VIII,13,3,Wednesday,55,Gry Xbox 360
670,Radom,al. Makuszynskiego,38,C360,III,30,6,Sunday,IV,1,1,Tuesday,43,Gry Xbox 360
671,Radom,ul. Szpitalna,844,C516,IX,6,14,Saturday,IX,7,18,Sunday,29,Gry Xbox 360
672,Gdynia,al. Jabloniowa,676,C620,IX,24,15,Wednesday,IX,26,19,Friday,52,Gry Xbox 360
673,Warszawa,pl. Spacerowa,1,C360,VI,9,13,Monday,VI,12,19,Thursday,78,Gry Xbox 360
674,Szczecin,pl. Slowianska,29,C360,X,7,8,Tuesday,X,12,9,Sunday,121,Gry Xbox 360
675,Mielec,ul. Brzozowa,64,C516,I,30,4,Wednesday,I,31,0,Thursday,21,Gry Xbox 360
676,Gdynia,ul. Wierzbowa,26,C360,VII,7,11,Monday,VII,7,16,Monday,5,Gry Xbox 360
677,Warszawa,ul. Niecala,61,C620,I,21,23,Monday,I,23,19,Wednesday,44,Gry Xbox 360
678,Police,pl. Sportowa,85,C620,V,23,9,Friday,V,24,2,Saturday,17,Gry Xbox 360
679,Kutno,ul. Sikorskiego,57,C620,VI,30,17,Monday,VII,2,13,Wednesday,44,Gry Xbox 360
680,Konin,pl. Szeroka,11,C360,V,14,14,Wednesday,V,14,15,Wednesday,1,Gry Xbox 360
681,Radom,ul. Storczykowa,534,C620,II,12,14,Tuesday,II,13,11,Wednesday,20,Gry Xbox 360
682,Szczecin,pl. Okrezna,933,C516,I,2,14,Wednesday,I,4,20,Friday,54,Gry Xbox 360
683,Warszawa,al. Mokra,49,C516,VIII,24,11,Sunday,VIII,27,12,Wednesday,73,Gry Xbox 360
684,Warszawa,pl. Truskawkowa,38,C620,III,30,5,Sunday,IV,2,10,Wednesday,77,Gry Xbox 360
685,Warszawa,pl. Spacerowa,1,C360,V,13,18,Tuesday,V,15,23,Thursday,53,Gry Xbox 360
686,Szczecin,ul. Dzialkowa,7,C620,III,28,18,Friday,III,30,21,Sunday,51,Gry Xbox 360
687,Szczecin,ul. Ciasna,44,C360,VI,15,2,Sunday,VI,15,16,Sunday,14,Gry Xbox 360
688,Warszawa,pl. Jasna,53,C516,IV,19,10,Saturday,IV,21,17,Monday,55,Gry Xbox 360
689,Konin,pl. Szeroka,11,C360,VII,21,18,Monday,VII,23,9,Wednesday,39,Gry Xbox 360
690,Szczecin,al. Okrzei,77,C516,IX,21,17,Sunday,IX,22,7,Monday,14,Gry Xbox 360
691,Radom,al. Sosnowa,732,C516,III,29,21,Saturday,IV,3,3,Thursday,103,Gry Xbox 360
692,Gdynia,al. Zakole,922,C516,VI,25,16,Wednesday,VII,1,6,Tuesday,134,Gry Xbox 360
693,Konin,pl. Spokojna,78,C620,VI,11,15,Wednesday,VI,14,3,Saturday,60,Gry Xbox 360
694,Mielec,pl. Cisowa,939,C620,VII,15,0,Tuesday,VII,15,7,Tuesday,7,Gry Xbox 360
695,Kutno,pl. Wroclawska,571,C516,V,23,11,Friday,V,23,23,Friday,12,Gry Xbox 360
696,Mielec,ul. Szymanowskiego,39,C360,III,2,10,Sunday,III,3,20,Monday,34,Gry Xbox 360
697,Radom,al. Sosnowa,732,C620,VI,1,18,Sunday,VI,2,8,Monday,15,Gry Xbox 360
698,Mielec,pl. Cisowa,939,C360,II,2,20,Saturday,II,3,15,Sunday,19,Gry Xbox 360
699,Konin,pl. Perlowa,95,C360,X,6,11,Monday,X,10,10,Friday,95,Gry Xbox 360
700,Szczecin,pl. Slowianska,29,C620,VI,28,18,Saturday,VI,30,10,Monday,40,Gry Xbox 360
701,Gdynia,ul. Okrzei,90,C516,VI,1,23,Sunday,VI,2,10,Monday,11,Gry Xbox 360
702,Szczecin,al. Zamkowa,88,C516,VI,24,10,Tuesday,VI,29,19,Sunday,129,Gry Xbox 360
703,Szczecin,ul. Slowianska,98,C360,I,9,14,Wednesday,I,11,6,Friday,40,Gry Xbox 360
704,Konin,ul. Perlowa,346,C620,VIII,14,11,Thursday,VIII,15,10,Friday,23,Gry Xbox 360
705,Kutno,pl. Wroclawska,571,C620,V,15,23,Thursday,V,18,9,Sunday,59,Gry Xbox 360
706,Warszawa,al. Rzeczna,403,C620,X,17,4,Friday,X,18,9,Saturday,29,Gry Xbox 360
707,Radom,pl. zwirowa,68,C516,III,3,0,Monday,III,6,20,Thursday,92,Gry Xbox 360
708,Mielec,pl. Zielona,434,C516,III,3,2,Monday,III,4,15,Tuesday,37,Gry Xbox 360
709,Radom,pl. Chabrowa,25,C620,I,7,5,Monday,I,8,10,Tuesday,29,Gry Xbox 360
710,Police,al. Wodna,324,C516,II,16,0,Saturday,II,16,2,Saturday,2,Gry Xbox 360
711,Warszawa,ul. Konarskiego,65,C516,III,11,16,Tuesday,III,14,9,Friday,64,Gry Xbox 360
712,Konin,ul. Sienkiewicza,979,C620,VIII,27,0,Wednesday,VIII,29,23,Friday,71,Gry Xbox 360
713,Kutno,pl. Widokowa,16,C360,II,22,9,Friday,II,26,10,Tuesday,97,Gry Xbox 360
714,Szczecin,pl. Kolejowa,374,C620,II,4,22,Monday,II,9,7,Saturday,104,Gry Xbox 360
715,Konin,pl. Rumiankowa,1,C516,II,8,16,Friday,II,12,9,Tuesday,89,Gry Xbox 360
716,Gdynia,al. Reja,108,C360,V,31,0,Saturday,VI,3,20,Tuesday,92,Gry Xbox 360
717,Kutno,al. Torowa,74,C360,IX,2,2,Tuesday,IX,3,14,Wednesday,36,Gry Xbox 360
718,Szczecin,al. Lelewela,27,C516,X,24,13,Friday,X,26,5,Sunday,40,Gry Xbox 360
719,Radom,pl. Kasztanowa,82,C360,III,14,4,Friday,III,16,6,Sunday,50,Gry Xbox 360
720,Kutno,al. Torowa,74,C360,I,16,8,Wednesday,I,17,3,Thursday,19,Gry Xbox 360
721,Radom,al. Poziomkowa,93,C516,VI,16,2,Monday,VI,18,21,Wednesday,68,Gry Xbox 360
722,Gdynia,ul. Cmentarna,698,C516,VI,21,16,Saturday,VI,24,18,Tuesday,74,Gry Xbox 360
723,Gdynia,ul. Okrzei,90,C620,X,25,11,Saturday,X,29,7,Wednesday,92,Gry Xbox 360
724,Warszawa,ul. Niecala,61,C620,V,2,3,Friday,V,2,15,Friday,11,Gry Xbox 360
725,Szczecin,al. Skargi,58,C620,VII,29,10,Tuesday,VII,30,7,Wednesday,22,Gry Xbox 360
726,Szczecin,pl. Sawickiej,16,C516,X,25,19,Saturday,X,26,1,Sunday,6,Gry Xbox 360
727,Kutno,pl. Widokowa,16,C360,I,21,13,Monday,I,22,23,Tuesday,34,Gry Xbox 360
728,Konin,pl. Jagiellonska,1,C516,IV,24,11,Thursday,IV,24,17,Thursday,6,Gry Xbox 360
729,Radom,pl. Chabrowa,25,C360,IX,30,9,Tuesday,X,1,10,Wednesday,25,Gry Xbox 360
730,Police,ul. Wiejska,42,C620,VIII,31,18,Sunday,IX,5,6,Friday,108,Gry Xbox 360
731,Radom,al. Poziomkowa,93,C360,X,1,10,Wednesday,X,3,13,Friday,51,Gry Xbox 360
732,Konin,al. lakowa,581,C516,IV,21,7,Monday,IV,25,19,Friday,109,Gry Xbox 360
733,Gdynia,ul. Okrzei,90,C516,III,19,10,Wednesday,III,19,20,Wednesday,10,Gry Xbox 360
734,Szczecin,pl. Agrestowa,371,C516,II,24,19,Sunday,II,26,8,Tuesday,37,Gry Xbox 360
735,Police,ul. Ludowa,90,C620,IV,10,14,Thursday,IV,13,6,Sunday,64,Gry Xbox 360
736,Police,pl. Jezynowa,578,C620,IV,28,12,Monday,V,1,8,Thursday,68,Gry Xbox 360
737,Radom,pl. Kasztanowa,82,C620,VIII,3,0,Sunday,VIII,3,15,Sunday,14,Gry Xbox 360
738,Radom,ul. Storczykowa,534,C360,VI,5,11,Thursday,VI,5,14,Thursday,3,Gry Xbox 360
739,Konin,al. Strumykowa,54,C360,III,22,9,Saturday,III,24,18,Monday,57,Gry Xbox 360
740,Gdynia,al. Torowa,43,C360,VI,30,14,Monday,VII,2,5,Wednesday,38,Gry Xbox 360
741,Mielec,al. Stroma,8,C620,IV,16,15,Wednesday,IV,19,17,Saturday,74,Gry Xbox 360
742,Mielec,pl. Cisowa,939,C360,IX,23,17,Tuesday,IX,25,9,Thursday,40,Gry Xbox 360
743,Warszawa,pl. Truskawkowa,38,C620,III,11,3,Tuesday,III,13,21,Thursday,66,Gry Xbox 360
744,Police,ul. Wiejska,42,C620,VII,15,1,Tuesday,VII,18,21,Friday,92,Gry Xbox 360
745,Konin,pl. Rumiankowa,1,C360,VI,6,12,Friday,VI,9,20,Monday,81,Gry Xbox 360
746,Police,ul. Wiejska,42,C620,V,12,17,Monday,V,13,10,Tuesday,17,Gry Xbox 360
747,Warszawa,pl. Sokola,33,C620,II,22,4,Friday,II,22,13,Friday,8,Gry Xbox 360
748,Konin,pl. Szeroka,11,C620,X,17,9,Friday,X,18,3,Saturday,19,Gry Xbox 360
749,Konin,pl. Szeroka,11,C516,IX,12,5,Friday,IX,14,1,Sunday,43,Gry Xbox 360
750,Szczecin,ul. Kalinowa,968,C360,VIII,18,21,Monday,VIII,19,2,Tuesday,4,Gry Xbox 360
751,Radom,pl. Chabrowa,25,C360,II,7,23,Thursday,II,9,8,Saturday,32,Gry Xbox 360
752,Kutno,pl. Widokowa,16,C620,VI,9,17,Monday,VI,11,4,Wednesday,34,Gry Xbox 360
753,Mielec,al. Kasztanowa,10,C516,I,29,20,Tuesday,I,31,21,Thursday,49,Gry Xbox 360
754,Konin,pl. Lelewela,78,C360,III,9,15,Sunday,III,9,23,Sunday,8,Gry Xbox 360
755,Szczecin,ul. Wierzbowa,4,C360,VI,22,16,Sunday,VI,26,15,Thursday,95,Gry Xbox 360
756,Radom,ul. Spoldzielcza,78,C516,IX,26,21,Friday,IX,27,19,Saturday,22,Gry Xbox 360
757,Warszawa,pl. Spacerowa,1,C516,IV,23,15,Wednesday,IV,25,13,Friday,47,Gry Xbox 360
758,Szczecin,pl. Sawickiej,16,C516,III,16,15,Sunday,III,18,8,Tuesday,41,Gry Xbox 360
759,Konin,pl. Szeroka,11,C516,I,29,3,Tuesday,I,29,21,Tuesday,18,Gry Xbox 360
760,Szczecin,ul. Dzialkowa,7,C516,I,14,8,Monday,I,15,16,Tuesday,32,Gry Xbox 360
761,Kutno,ul. Gorna,87,C360,VIII,15,0,Friday,VIII,18,10,Monday,82,Gry Xbox 360
762,Radom,ul. Spoldzielcza,78,C516,IV,29,20,Tuesday,V,2,23,Friday,75,Gry Xbox 360
763,Szczecin,al. Cyprysowa,868,C620,X,6,20,Monday,X,9,8,Thursday,61,Gry Xbox 360
764,Gdynia,ul. Okrzei,90,C620,VI,6,6,Friday,VI,11,13,Wednesday,127,Gry Xbox 360
765,Kutno,pl. Wroclawska,571,C620,VIII,12,6,Tuesday,VIII,12,8,Tuesday,2,Gry Xbox 360
766,Warszawa,pl. Truskawkowa,38,C516,II,6,12,Wednesday,II,7,23,Thursday,35,Gry Xbox 360
767,Konin,al. Lazurowa,274,C620,IV,18,1,Friday,IV,22,3,Tuesday,98,Gry Xbox 360
768,Radom,ul. Orzeszkowej,96,C620,V,2,2,Friday,V,2,18,Friday,17,Gry Xbox 360
769,Konin,ul. Sienkiewicza,979,C360,IV,11,6,Friday,IV,11,7,Friday,2,Gry Xbox 360
770,Gdynia,ul. Okrzei,90,C360,VIII,2,14,Saturday,VIII,4,15,Monday,49,Gry Xbox 360
771,Radom,ul. zwirki i Wigury,43,C516,X,23,1,Thursday,X,24,23,Friday,46,Gry Xbox 360
772,Police,ul. Storczykowa,88,C620,V,1,18,Thursday,V,3,5,Saturday,35,Gry Xbox 360
773,Konin,al. Drzymaly,90,C516,VIII,29,10,Friday,IX,1,10,Monday,72,Gry Xbox 360
774,Kutno,al. Fredry,92,C620,VIII,3,8,Sunday,VIII,5,16,Tuesday,55,Gry Xbox 360
775,Mielec,pl. Zielona,434,C516,IV,5,10,Saturday,IV,7,9,Monday,48,Gry Xbox 360
776,Gdynia,pl. Okrzei,98,C620,VI,16,13,Monday,VI,17,19,Tuesday,29,Gry Xbox 360
777,Szczecin,al. Witosa,53,C360,X,25,9,Saturday,X,27,23,Monday,62,Gry Xbox 360
778,Radom,pl. Batalionow Chlopskich,61,C360,III,15,21,Saturday,III,17,21,Monday,48,Gry Xbox 360
779,Warszawa,ul. Niecala,61,C516,X,13,18,Monday,X,14,10,Tuesday,15,Gry Xbox 360
780,Szczecin,pl. Agrestowa,371,C516,VII,25,11,Friday,VII,26,6,Saturday,19,Gry Xbox 360
781,Konin,pl. Boczna,7,C620,X,4,9,Saturday,X,5,4,Sunday,19,Gry Xbox 360
782,Konin,al. zytnia,11,C516,IX,19,6,Friday,IX,21,10,Sunday,52,Gry Xbox 360
783,Konin,pl. Rumiankowa,1,C516,IX,25,20,Thursday,IX,28,18,Sunday,69,Gry Xbox 360
784,Warszawa,pl. Spacerowa,1,C516,VII,29,3,Tuesday,VII,31,3,Thursday,48,Gry Xbox 360
785,Radom,pl. Chabrowa,25,C360,V,2,13,Friday,V,3,14,Saturday,25,Gry Xbox 360
786,Konin,al. Strumykowa,54,C620,IV,8,9,Tuesday,IV,9,20,Wednesday,35,Gry Xbox 360
787,Konin,ul. Jabloniowa,21,C360,VII,25,14,Friday,VII,27,7,Sunday,41,Gry Xbox 360
788,Szczecin,pl. Robotnicza,526,C516,VII,16,4,Wednesday,VII,17,18,Thursday,38,Gry Xbox 360
789,Szczecin,pl. Robotnicza,526,C620,V,12,15,Monday,V,13,3,Tuesday,13,Gry Xbox 360
790,Szczecin,ul. Wierzbowa,4,C360,III,16,14,Sunday,III,18,13,Tuesday,47,Gry Xbox 360
791,Kutno,al. Tulipanowa,23,C620,VI,30,8,Monday,VII,4,5,Friday,93,Gry Xbox 360
792,Konin,pl. Szeroka,11,C516,II,19,8,Tuesday,II,21,10,Thursday,51,Gry Xbox 360
793,Police,ul. Wiejska,42,C516,VI,20,16,Friday,VI,21,12,Saturday,20,Gry Xbox 360
794,Kutno,al. Fredry,92,C620,I,1,7,Tuesday,I,3,23,Thursday,64,Gry Xbox 360
795,Warszawa,ul. Niecala,61,C516,VII,10,18,Thursday,VII,14,18,Monday,97,Gry Xbox 360
796,Radom,pl. Chabrowa,25,C360,VI,14,1,Saturday,VI,14,6,Saturday,5,Gry Xbox 360
797,Szczecin,pl. Robotnicza,526,C516,VII,2,10,Wednesday,VII,9,16,Wednesday,174,Gry Xbox 360
798,Warszawa,ul. Boczna,78,C516,III,5,8,Wednesday,III,5,21,Wednesday,13,Gry Xbox 360
799,Police,ul. Ludowa,90,C516,X,14,11,Tuesday,X,16,9,Thursday,46,Gry Xbox 360
800,Kutno,pl. Lubelska,95,C360,X,26,19,Sunday,X,30,21,Thursday,98,Gry Xbox 360
801,Gdynia,al. Torowa,43,C360,VI,2,15,Monday,VI,3,5,Tuesday,14,Gry Xbox 360
802,Kutno,pl. Widokowa,16,C516,X,21,8,Tuesday,X,21,10,Tuesday,2,Gry Xbox 360
803,Konin,pl. Perlowa,95,C360,VI,16,11,Monday,VI,19,3,Thursday,64,Gry Xbox 360
804,Gdynia,ul. Okrzei,90,C516,VII,13,20,Sunday,VII,15,4,Tuesday,32,Gry Xbox 360
805,Police,al. Sikorskiego,22,C620,VII,5,19,Saturday,VII,6,14,Sunday,18,Gry Xbox 360
806,Police,ul. Wiejska,42,C360,V,31,22,Saturday,VI,1,3,Sunday,5,Gry Xbox 360
807,Konin,ul. Perlowa,346,C360,IV,17,14,Thursday,IV,18,20,Friday,30,Gry Xbox 360
808,Kutno,pl. Plater,12,C620,IX,9,6,Tuesday,IX,11,12,Thursday,54,Monitory LCD
809,Szczecin,pl. Powstancow slaskich,67,C360,I,10,8,Thursday,I,11,18,Friday,34,Monitory LCD
810,Szczecin,ul. Wierzbowa,4,C516,IX,8,2,Monday,IX,8,5,Monday,3,Monitory LCD
811,Police,al. Skladowa,831,C360,VIII,2,2,Saturday,VIII,3,13,Sunday,36,Monitory LCD
812,Kutno,pl. Korczaka,49,C516,III,5,17,Wednesday,III,5,18,Wednesday,1,Monitory LCD
813,Kutno,al. Torowa,74,C620,IX,12,6,Friday,IX,13,11,Saturday,29,Monitory LCD
814,Radom,pl. lakowa,55,C620,II,20,10,Wednesday,II,21,14,Thursday,28,Monitory LCD
815,Radom,pl. Kasztanowa,82,C360,VIII,15,5,Friday,VIII,18,8,Monday,75,Monitory LCD
816,Warszawa,al. Strazacka,25,C516,IV,25,3,Friday,IV,25,13,Friday,9,Monitory LCD
817,Mielec,ul. Szymanowskiego,39,C360,II,7,20,Thursday,II,9,22,Saturday,50,Monitory LCD
818,Police,al. Skladowa,831,C516,X,24,15,Friday,X,25,18,Saturday,27,Monitory LCD
819,Radom,al. Sosnowa,49,C360,X,11,0,Saturday,X,13,14,Monday,62,Monitory LCD
820,Kutno,al. Torowa,74,C360,V,31,2,Saturday,V,31,8,Saturday,6,Monitory LCD
821,Gdynia,al. Wilcza,461,C360,III,2,3,Sunday,III,3,7,Monday,28,Monitory LCD
822,Radom,pl. Kasztanowa,82,C620,VII,17,21,Thursday,VII,19,17,Saturday,44,Monitory LCD
823,Gdynia,al. Wypoczynkowa,366,C620,X,14,2,Tuesday,X,18,15,Saturday,109,Monitory LCD
824,Konin,pl. Glowna,248,C620,III,22,19,Saturday,III,25,12,Tuesday,64,Monitory LCD
825,Szczecin,al. Cyprysowa,868,C360,X,14,22,Tuesday,X,16,15,Thursday,42,Monitory LCD
826,Konin,al. Drzymaly,90,C516,X,8,18,Wednesday,X,11,19,Saturday,73,Monitory LCD
827,Police,ul. Powstancow,75,C360,III,10,3,Monday,III,11,7,Tuesday,28,Monitory LCD
828,Gdynia,pl. Okrzei,98,C516,IV,20,15,Sunday,IV,23,6,Wednesday,62,Monitory LCD
829,Gdynia,pl. Pilsudskiego,65,C360,I,21,15,Monday,I,24,11,Thursday,68,Monitory LCD
830,Police,pl. Wladyslawa Jagielly,427,C620,III,13,12,Thursday,III,15,21,Saturday,57,Monitory LCD
831,Kutno,al. Fredry,92,C620,III,22,0,Saturday,III,23,23,Sunday,48,Monitory LCD
832,Gdynia,ul. Klonowa,72,C620,X,10,18,Friday,X,14,8,Tuesday,86,Monitory LCD
833,Mielec,al. Jana,365,C620,VII,26,5,Saturday,VII,27,5,Sunday,24,Monitory LCD
834,Kutno,al. Norwida,52,C360,VII,11,18,Friday,VII,14,20,Monday,74,Monitory LCD
835,Konin,pl. Rumiankowa,1,C360,IX,22,0,Monday,IX,24,17,Wednesday,65,Monitory LCD
836,Police,al. Skladowa,831,C620,X,4,15,Saturday,X,5,23,Sunday,32,Monitory LCD
837,Konin,ul. Sienkiewicza,979,C516,VI,9,0,Monday,VI,9,19,Monday,19,Monitory LCD
838,Police,al. Skladowa,831,C516,VIII,22,6,Friday,VIII,26,19,Tuesday,109,Monitory LCD
839,Kutno,pl. Korczaka,49,C620,IV,11,4,Friday,IV,12,0,Saturday,19,Monitory LCD
840,Konin,pl. Jagiellonska,1,C516,IX,3,16,Wednesday,IX,5,6,Friday,37,Monitory LCD
841,Police,al. Sikorskiego,22,C360,III,10,16,Monday,III,13,13,Thursday,68,Monitory LCD
842,Radom,pl. Kasztanowa,82,C516,II,7,18,Thursday,II,9,23,Saturday,53,Monitory LCD
843,Police,pl. Wladyslawa Jagielly,427,C360,I,6,9,Sunday,I,9,4,Wednesday,67,Monitory LCD
844,Kutno,pl. Lubelska,95,C620,IV,17,14,Thursday,IV,18,15,Friday,25,Monitory LCD
845,Konin,pl. Rumiankowa,1,C360,VI,16,2,Monday,VI,16,17,Monday,15,Monitory LCD
846,Gdynia,pl. Okrzei,98,C360,V,5,4,Monday,V,5,21,Monday,17,Monitory LCD
847,Konin,pl. Spokojna,78,C360,VIII,25,12,Monday,VIII,27,20,Wednesday,56,Monitory LCD
848,Szczecin,ul. Slowianska,98,C360,I,5,17,Saturday,I,5,23,Saturday,6,Monitory LCD
849,Kutno,al. zeromskiego,261,C620,IX,21,5,Sunday,IX,24,6,Wednesday,73,Monitory LCD
850,Szczecin,al. Skargi,58,C360,IV,11,2,Friday,IV,14,1,Monday,70,Monitory LCD
851,Gdynia,pl. Lubelska,7,C620,VII,29,21,Tuesday,VIII,2,8,Saturday,83,Monitory LCD
852,Warszawa,al. Mokra,49,C516,V,24,12,Saturday,V,27,18,Tuesday,78,Monitory LCD
853,Gdynia,pl. Opolska,89,C620,II,10,3,Sunday,II,15,19,Friday,136,Monitory LCD
854,Warszawa,ul. Reymonta,952,C516,X,26,6,Sunday,X,27,11,Monday,29,Monitory LCD
855,Mielec,al. Wladyslawa lokietka,27,C516,IX,18,5,Thursday,IX,21,1,Sunday,68,Monitory LCD
856,Konin,ul. Sienkiewicza,979,C620,VII,12,15,Saturday,VII,17,4,Thursday,108,Monitory LCD
857,Konin,al. Strumykowa,54,C620,I,7,16,Monday,I,7,23,Monday,7,Monitory LCD
858,Gdynia,pl. Opolska,89,C516,VII,13,6,Sunday,VII,14,22,Monday,40,Monitory LCD
